Province,Municipality,Poverty_Incidence
Aklan,Altavas,10.029514
Aklan,Balete,11.355147
Aklan,Banga,6.126752
Aklan,Batan,12.494263
Aklan,Buruanga,9.90806
Aklan,Ibajay,8.699266999999999
Aklan,Kalibo,2.35156
Aklan,Lezo,5.59269
Aklan,Libacao,19.952927000000003
Aklan,Madalag,14.793594
Aklan,Makato,7.963855000000001
Aklan,Malay,2.966725
Aklan,Malinao,11.461191
Aklan,Nabas,6.967545
Aklan,New Washington,6.453200000000001
Aklan,Numancia,2.8493999999999997
Aklan,Tangalan,9.073626
Antique,Anini-Y,16.737954
Antique,Barbaza,17.974864
Antique,Belison,11.078995
Antique,Bugasong,23.741906
Antique,Caluya,22.756807
Antique,Culasi,18.887656
Antique,Tobias Fornier,20.177659
Antique,Hamtic,16.130626
Antique,Laua-An,22.002627
Antique,Libertad,19.017622
Antique,Pandan,10.745468
Antique,Patnongon,21.519074
Antique,San Jose,7.082488000000001
Antique,San Remigio,33.458234
Antique,Sebaste,15.107409999999998
Antique,Sibalom,17.623248
Antique,Tibiao,19.764421
Antique,Valderrama,28.097085
Capiz,Cuartero,15.476347
Capiz,Dao,13.229848
Capiz,Dumalag,15.953023
Capiz,Dumarao,19.770513
Capiz,Ivisan,12.420423
Capiz,Jamindan,21.603793
Capiz,Ma-Ayon,20.680181
Capiz,Mambusao,11.999582
Capiz,Panay,12.342476
Capiz,Panitan,10.776543
Capiz,Pilar,19.059638
Capiz,Pontevedra,11.88547
Capiz,President Roxas,15.96273
Capiz,City of Roxas,6.541511
Capiz,Sapi-An,21.675969
Capiz,Sigma,13.608467
Capiz,Tapaz,23.211059
Iloilo,Ajuy,19.628646
Iloilo,Alimodian,16.612786
Iloilo,Anilao,21.120295
Iloilo,Badiangan,16.620199
Iloilo,Balasan,15.183714
Iloilo,Banate,14.718415000000002
Iloilo,Barotac Nuevo,15.582126
Iloilo,Barotac Viejo,18.430625
Iloilo,Batad,19.363399
Iloilo,Bingawan,19.144394
Iloilo,Cabatuan,10.407839
Iloilo,Calinog,21.063003
Iloilo,Carles,27.256217999999997
Iloilo,Concepcion,24.094707
Iloilo,Dingle,14.346476
Iloilo,Dueñas,17.968326
Iloilo,Dumangas,12.189299
Iloilo,Estancia,17.817215
Iloilo,Guimbal,7.432391000000001
Iloilo,Igbaras,17.903548
Iloilo,Janiuay,16.742545
Iloilo,Lambunao,19.861141
Iloilo,Leganes,9.826163
Iloilo,Lemery,19.200902
Iloilo,Leon,16.356077
Iloilo,Maasin,18.556538
Iloilo,Miagao,11.85094
Iloilo,Mina,15.141376
Iloilo,New Lucena,10.311348
Iloilo,Oton,5.885228
Iloilo,City of Passi,17.760252
Iloilo,Pavia,3.480325
Iloilo,Pototan,11.919823
Iloilo,San Dionisio,20.689285
Iloilo,San Enrique,18.791947
Iloilo,San Joaquin,19.28972
Iloilo,San Miguel,9.166708
Iloilo,San Rafael,19.540789
Iloilo,Santa Barbara,8.058957
Iloilo,Sara,17.37014
Iloilo,Tigbauan,11.90477
Iloilo,Tubungan,19.508088
Iloilo,Zarraga,8.414393
Guimaras,Buenavista,7.131936
Guimaras,Jordan,7.328498
Guimaras,Nueva Valencia,11.729048
Guimaras,San Lorenzo,9.836875
Guimaras,Sibunag,10.143367
