adm3_en,adm2_en
Altavas,Aklan
Balete,Aklan
Banga,Aklan
Batan,Aklan
Buruanga,Aklan
Ibajay,Aklan
Kalibo,Aklan
Lezo,Aklan
Libacao,Aklan
Madalag,Aklan
Makato,Aklan
Malay,Aklan
Malinao,Aklan
Nabas,Aklan
New Washington,Aklan
Numancia,Aklan
Tangalan,Aklan
Anini-Y,Antique
Barbaza,Antique
Belison,Antique
Bugasong,Antique
Caluya,Antique
Culasi,Antique
Tobias Fornier,Antique
Hamtic,Antique
Laua-An,Antique
Libertad,Antique
Pandan,Antique
Patnongon,Antique
San Jose,Antique
San Remigio,Antique
Sebaste,Antique
Sibalom,Antique
Tibiao,Antique
Valderrama,Antique
Cuartero,Capiz
Dao,Capiz
Dumalag,Capiz
Dumarao,Capiz
Ivisan,Capiz
Jamindan,Capiz
Ma-Ayon,Capiz
Mambusao,Capiz
Panay,Capiz
Panitan,Capiz
Pilar,Capiz
Pontevedra,Capiz
President Roxas,Capiz
City of Roxas,Capiz
Sapi-An,Capiz
Sigma,Capiz
Tapaz,Capiz
Ajuy,Iloilo
Alimodian,Iloilo
Anilao,Iloilo
Badiangan,Iloilo
Balasan,Iloilo
Banate,Iloilo
Barotac Nuevo,Iloilo
Barotac Viejo,Iloilo
Batad,Iloilo
Bingawan,Iloilo
Cabatuan,Iloilo
Calinog,Iloilo
Carles,Iloilo
Concepcion,Iloilo
Dingle,Iloilo
Dueñas,Iloilo
Dumangas,Iloilo
Estancia,Iloilo
Guimbal,Iloilo
Igbaras,Iloilo
Janiuay,Iloilo
Lambunao,Iloilo
Leganes,Iloilo
Lemery,Iloilo
Leon,Iloilo
Maasin,Iloilo
Miagao,Iloilo
Mina,Iloilo
New Lucena,Iloilo
Oton,Iloilo
City of Passi,Iloilo
Pavia,Iloilo
Pototan,Iloilo
San Dionisio,Iloilo
San Enrique,Iloilo
San Joaquin,Iloilo
San Miguel,Iloilo
San Rafael,Iloilo
Santa Barbara,Iloilo
Sara,Iloilo
Tigbauan,Iloilo
Tubungan,Iloilo
Zarraga,Iloilo
Buenavista,Guimaras
Jordan,Guimaras
Nueva Valencia,Guimaras
San Lorenzo,Guimaras
Sibunag,Guimaras
City of Iloilo,Iloilo
